job_title,experience_level,employment_type,company_location,company_size,education_required,years_experience,industry,company_name,monthly_salary,remote_state,SQL,Tableau,Spark,Python,Computer Vision,Deep Learning,Azure,Data Visualization,GCP,Scala,Git,PyTorch,Hadoop,Linux,NLP,TensorFlow,Statistics,R,Mathematics,Kubernetes,Docker,MLOps,AWS,Java
AI Research Scientist,Senior,Contract,China,Medium 50-250,Bachelor,9,Automotive,Smart Analytics,7531.333333333333,Hybrid,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
AI Software Engineer,Entry,Contract,Canada,Medium 50-250,Master,1,Media,TechCorp Inc,5157.916666666667,Fully remote,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
AI Specialist,Mid,Freelance,Switzerland,Large >250,Associate,2,Education,Autonomous Tech,12718.833333333334,No remote,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
NLP Engineer,Senior,Freelance,India,Medium 50-250,PhD,7,Consulting,Future Systems,6684.583333333333,Hybrid,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AI Consultant,Entry,Part Time,France,Small <50,Master,0,Media,Advanced Robotics,4552.0,Fully remote,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AI Architect,Senior,Contract,Germany,Medium 50-250,Associate,7,Healthcare,Neural Networks Co,10297.833333333334,Hybrid,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Principal Data Scientist,Mid,Freelance,United Kingdom,Small <50,Associate,3,Gaming,DataVision Ltd,6639.166666666667,No remote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
NLP Engineer,Entry,Freelance,France,Large >250,Master,0,Healthcare,Cloud AI Solutions,5886.666666666667,No remote,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Data Analyst,Senior,Contract,Singapore,Large >250,PhD,7,Government,Quantum Computing Inc,13392.5,No remote,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
AI Software Engineer,Senior,Part Time,Austria,Medium 50-250,Master,5,Government,Cloud AI Solutions,8546.416666666666,No remote,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Autonomous Systems Engineer,Senior,Part Time,Sweden,Medium 50-250,Associate,8,Telecommunications,Smart Analytics,8526.833333333334,Fully remote,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
